$primary$,$original$
$rhdk oil & gas, llc$,$rhdk oil & gas, llc$
$partee drilling inc$,$partee drilling inc$
$meritage energy company, llc$,$meritage energy company, llc$
$blue dolphin production, llc$,$blue dolphin production, llc$
$treadstone energy partners, llc$,$treadstone energy partners, llc$
$triple crown resources$,$triple crown resources$
$helis oil & gas company, l.l.c.$,$helis oil & gas company, l.l.c.$
$hogback exploration, inc$,$hogback exploration, inc$
$coachman energy / cynosure energy$,$coachman energy / cynosure energy$
$petroedge energy iv, llc$,$petroedge energy iv, llc$
$limestone exploration ii, llc$,$limestone exploration ii, llc$
$redland resources, inc.$,$redland resources, inc.$
$greylock production llc$,$greylock production llc$
$energyquest ii, llc$,$energyquest ii, llc$
$de operating llc$,$de operating llc$
$latigo petroleum, llc$,$latigo petroleum, llc$
$kj energy, llc$,$kj energy, llc$
$amplify energy corp$,$amplify energy corp$
$midville energy$,$midville energy$
$vitruvian exploration iv, llc$,$vitruvian exploration iv, llc$
$nadel and gussman$,$nadel and gussman$
$apex energy llc$,$apex energy llc$
$truevine operating, llc$,$truevine operating, llc$
$wbh energy partners llc$,$wbh energy partners llc$
$endurance resources llc$,$endurance resources llc$
$cep mid-continent llc$,$cep mid-continent llc$
$eagle exploration production, llc$,$eagle exploration production, llc$
$firewheel operating, llc$,$firewheel operating, llc$
$tacor resources, inc.$,$tacor resources, inc.$
$p.o.&g. operating, llc$,$p.o.&g. operating, llc$
$renegade oil & gas company, llc$,$renegade oil & gas company, llc$
$bam permian operating, llc$,$bam permian operating, llc$
$badlands energy - utah, llc$,$badlands energy - utah, llc$
$d&j oil co., inc$,$d&j oil co., inc$
$cbp operating llc$,$cbp operating llc$
$triad energy, inc.$,$triad energy, inc.$
$rock oil company$,$rock oil company$
$bvx operating inc.$,$bvx operating inc.$
$ica energy operating, llc$,$ica energy operating, llc$
$bluescape resources$,$bluescape resources$
$mountaineer keystone, llc$,$mountaineer keystone, llc$
$tradition resources llc$,$tradition resources llc$
$derby exploration$,$derby exploration$
$greystone petroleum$,$greystone petroleum$
$cross timbers energy, llc$,$cross timbers energy, llc$
$spring operating company$,$spring operating company$
$treadstone energy partners operating, llc$,$treadstone energy partners operating, llc$
$cinnabar energy, ltd.$,$cinnabar energy, ltd.$
$89 energy$,$89 energy$
$crimson energy partners iv, llc$,$crimson energy partners iv, llc$
$legado permian, llc$,$legado permian, llc$
$williams oil company$,$williams oil company$
$three summits operating llc$,$three summits operating llc$
$fuse energy, llc$,$fuse energy, llc$
$liberty resources llc$,$liberty resources llc$
$earthstone operating, llc$,$earthstone operating, llc$
$discovery oil and gas, llc$,$discovery oil and gas, llc$
$franks exploration company, llc$,$franks exploration company, llc$
$echo e&p llc$,$echo e&p llc$
$bison oil & gas ii, llc$,$bison oil & gas ii, llc$
$u.s. enercorp, ltd.$,$u.s. enercorp, ltd.$
$vanguard natural resources, llc$,$vanguard natural resources, llc$
$mak-j energy colorado, llc.$,$mak-j energy colorado, llc.$
$john m. clark, inc.$,$john m. clark, inc.$
$sklar exploration company l.l.c.$,$sklar exploration company l.l.c.$
$sierra resources, llc$,$sierra resources, llc$
$sg interests i ltd.$,$sg interests i ltd.$
$royalty land & dev. co., inc.$,$royalty land & dev. co., inc.$
$petroshale (us), inc.$,$petroshale (us), inc.$
$dallas production, inc$,$dallas production, inc$
$arsenal energy usa inc.$,$arsenal energy usa inc.$
$red mountain operating llc$,$red mountain operating llc$
$teal natural resources$,$teal natural resources$
$mountain divide llc$,$mountain divide llc$
$postrock midcontinent production llc$,$postrock midcontinent production llc$
$mesa energy partners, llc$,$mesa energy partners, llc$
$armor energy, llc$,$armor energy, llc$
$elk river resouces, llc.$,$elk river resouces, llc.$
$percussion petroleum llc$,$percussion petroleum llc$
$cirque resources lp$,$cirque resources lp$
$fha operating$,$fha operating$
$lewis operating co.$,$lewis operating co.$
$excalibur reserouces$,$excalibur reserouces$
$greystone oil & gas llp$,$greystone oil & gas llp$
$ricochet energy, inc.$,$ricochet energy, inc.$
$century exploration houston, llc$,$century exploration houston, llc$
$roberson oil company, inc.$,$roberson oil company, inc.$
$trilogy resources, llc$,$trilogy resources, llc$
$stone creek operating, llc$,$stone creek operating, llc$
$emerald oil llc$,$emerald oil llc$
$sojourner drilling corporation$,$sojourner drilling corporation$
$wave petroleum operating, llc$,$wave petroleum operating, llc$
$north plains energy, llc$,$north plains energy, llc$
$keystone petroleum nm llc$,$keystone petroleum nm llc$
$comanche resources company$,$comanche resources company$
$rox exploration, inc.$,$rox exploration, inc.$
$fivestones energy llc$,$fivestones energy llc$
$suemaur expl. & prod., llc$,$suemaur expl. & prod., llc$
$juneau energy, llc$,$juneau energy, llc$
$raw oil & gas, inc.$,$raw oil & gas, inc.$
$square mile energy, llc$,$square mile energy, llc$
$legacy exploration, llc i$,$legacy exploration, llc i$
$delta co2, llc$,$delta co2, llc$
$alpha shale resource, lp$,$alpha shale resource, lp$
$ares energy ltd$,$ares energy ltd$
$atoka operating permian, llc$,$atoka operating permian, llc$
$pecos operating company, llc$,$pecos operating company, llc$
$vess oil corp$,$vess oil corp$
$gordy oil company$,$gordy oil company$
$maverick operating, llc$,$maverick operating, llc$
$np resources$,$np resources$
$petex$,$petex$
$txp, inc.$,$txp, inc.$
$gunnison energy corporation$,$gunnison energy corporation$
$h&l exploration company, llc$,$h&l exploration company, llc$
$citrus energy corporation$,$citrus energy corporation$
$fortuna resources development, llc$,$fortuna resources development, llc$
$kgh operating company$,$kgh operating company$
$atalaya resources, llc$,$atalaya resources, llc$
$stanolind operating llc$,$stanolind operating llc$
$vantage energy appalachia llc$,$vantage energy appalachia llc$
$beacon e&p company, llc$,$beacon e&p company, llc$
$sunray operating co. inc.$,$sunray operating co. inc.$
$djr operating, llc$,$djr operating, llc$
$best petroleum explorations, inc.$,$best petroleum explorations, inc.$
$ranken energy corporation$,$ranken energy corporation$
$empresa energy llc$,$empresa energy llc$
$rock creek resources, llc$,$rock creek resources, llc$
$rock creek resources, llc$,$rocky creek resources, llc$
$wagon wheel arklatex, llc$,$wagon wheel arklatex, llc$
$molopo energy texas, llc$,$molopo energy texas, llc$
$ray richey managment company, inc.$,$ray richey managment company, inc.$
$crimson energy partners iii, llc$,$crimson energy partners iii, llc$
$xanadu exploration company$,$xanadu exploration company$
$kovar operating, llc$,$kovar operating, llc$
$new century operating, llc$,$new century operating, llc$
$atlas resource partners, lp$,$atlas resource partners, lp$
$staghorn petroleum, llc$,$staghorn petroleum, llc$
$western chief operating, llc$,$western chief operating, llc$
$advance energy partners hat mesa llc$,$advance energy partners hat mesa llc$
$avalon operating, llc$,$avalon operating, llc$
$king operating corp.$,$king operating corp.$
$paul burton, llc$,$paul burton, llc$
$piedra operating, llc$,$piedra operating, llc$
$ergon exploration$,$ergon exploration$
$western oil and gas development corp.$,$western oil and gas development corp.$
$ranger  o&g$,$ranger  o&g$
$meade energy corp.$,$meade energy corp.$
$osborn heirs company$,$osborn heirs company$
$aexco petroleum inc.$,$aexco petroleum inc.$
$hibernia resources, llc$,$hibernia resources, llc$
$grenadier energy partners ii$,$grenadier energy partners ii$
$kinder morgan tejas pipeline, llc$,$kinder morgan tejas pipeline, llc$
$woodbine production corp$,$woodbine production corp$
$cornerstone natural resources$,$cornerstone natural resources$
$petropoint energy operating, llc.$,$petropoint energy operating, llc.$
$daylight petroleum llc$,$daylight petroleum llc$
$wildhorse operating company$,$wildhorse operating company$
$butkin oil company, llc$,$butkin oil company, llc$
$manti tarka permian$,$manti tarka permian$
$triana energy$,$triana energy$
$cummings oil company$,$cummings oil company$
$nemo fund i, llc$,$nemo fund i, llc$
$anschutz exploration corporation$,$anschutz exploration corporation$
$telesis operating co., inc.$,$telesis operating co., inc.$
$the edmar company, llc$,$the edmar company, llc$
$geosurveys, inc.$,$geosurveys, inc.$
$carmony exploration, llc$,$carmony exploration, llc$
$tru operating llc.$,$tru operating llc.$
$gha barnett, llc$,$gha barnett, llc$
$laramie energy ii, llc$,$laramie energy ii, llc$
$tanos exploration, llc$,$tanos exploration, llc$
$dominion natural resources, llc$,$dominion natural resources, llc$
$silver oak energy, llc$,$silver oak energy, llc$
$forestar$,$forestar$
$hunt marcellus operating company$,$hunt marcellus operating company$
$covenant operating, llc$,$covenant operating, llc$
$robert l. bayless, producer llc$,$robert l. bayless, producer llc$
$fletcher petroleum corp.$,$fletcher petroleum corp.$
$huntington energy, l.l.c.$,$huntington energy, l.l.c.$
$arrow rock energy, llc$,$arrow rock energy, llc$
$adventure operating company, llc$,$adventure operating company, llc$
$caribou operating, inc.$,$caribou operating, inc.$
$arrowhead energy inc.$,$arrowhead energy inc.$
$ch4 energy ii, llc$,$ch4 energy ii, llc$
$stephens energy group llc$,$stephens energy group llc$
$east cheyenne gas storage, llc$,$east cheyenne gas storage, llc$
$black diamond minerals llc$,$black diamond minerals llc$
$aurora usa developement, llc$,$aurora usa developement, llc$
$venado operating company llc$,$venado operating company llc$
$bright horizon resources$,$bright horizon resources$
$maverick brothers resources,llc$,$maverick brothers resources,llc$
$mm energy, inc.$,$mm energy, inc.$
$magnum producing, lp$,$magnum producing, lp$
$equinor energy lp$,$equinor energy lp$
$pcore exploration & production llc$,$pcore exploration & production llc$
$dakota resources, inc.$,$dakota resources, inc.$
$condor energy technology llc$,$condor energy technology llc$
$midland oil and gas, inc.$,$midland oil and gas, inc.$
$greg hall oil and gas$,$greg hall oil and gas$
$wolverine gas & oil company of utah, llc$,$wolverine gas & oil company of utah, llc$
$basa resources, inc.$,$basa resources, inc.$
$hebron energy, llc$,$hebron energy, llc$
$pursuit oil & gas, llc$,$pursuit oil & gas, llc$
$black creek oil company, llc$,$black creek oil company, llc$
$teakwood operating llc$,$teakwood operating llc$
$riley exploration, llc$,$riley exploration, llc$
$heights energy corporation$,$heights energy corporation$
$recoil resources operating inc.$,$recoil resources operating inc.$
$v-f petroleum inc.$,$v-f petroleum inc.$
$siena natural resources$,$siena natural resources$
$texxol operating company$,$texxol operating company$
$denali oil & gas management$,$denali oil & gas management$
$fortay, inc.$,$fortay, inc.$
$millennial energy partners$,$millennial energy partners$
$b&w operating, llc$,$b&w operating, llc$
$yale oil association, inc.$,$yale oil association, inc.$
$grynberg petroleum$,$grynberg petroleum$
$hall & ross resources$,$hall & ross resources$
$bratco operating company$,$bratco operating company$
$blue chip oil inc$,$blue chip oil inc$
$atlantic resources company llc$,$atlantic resources company llc$
$boaz energy, llc.$,$boaz energy, llc.$
$central resources, inc.$,$central resources, inc.$
$incline energy$,$incline energy$
$headington oil company$,$headington oil company$
$far west development, llc$,$far west development, llc$
$aztec drilling & operating, llc$,$aztec drilling & operating, llc$
$iron star energy, llc$,$iron star energy, llc$
$gunnison energy llc$,$gunnison energy llc$
$roundtree & associates, inc.$,$roundtree & associates, inc.$
$jetta operating compnay, inc$,$jetta operating compnay, inc$
$sahara operating company$,$sahara operating company$
$driftwood energy operating, llc$,$driftwood energy operating, llc$
$dick lindsay oil co$,$dick lindsay oil co$
$williford energy company$,$williford energy company$
$campbell oil & gas. inc$,$campbell oil & gas. inc$
$bend petroleum corp$,$bend petroleum corp$
$jm cox resources, l.p.$,$jm cox resources, l.p.$
$mohican operating$,$mohican operating$
$paloma resources, llc$,$paloma resources, llc$
$dewbre petroleum corporation$,$dewbre petroleum corporation$
$rg exploration llc\rgx$,$rg exploration llc\rgx$
$manzano, llc$,$manzano, llc$
$peak texas resources, llc$,$peak texas resources, llc$
$atoka operating, inc.$,$atoka operating, inc.$
$true wolf operating, llc$,$true wolf operating, llc$
$jerry hess operating company$,$jerry hess operating company$
$foree oil company$,$foree oil company$
$hw operating, llc$,$hw operating, llc$
$ascent resources - marcellus, llc$,$ascent resources - marcellus, llc$
$blue water tpx operating co., llc$,$blue water tpx operating co., llc$
$b&l exploration, l.l.c.$,$b&l exploration, l.l.c.$
$pruet production co.$,$pruet production co.$
$osage exploration and develpoment, inc.$,$osage exploration and develpoment, inc.$
$mallard exploration$,$mallard exploration$
$ventex operating corp.$,$ventex operating corp.$
$texakoma operating, l.p.$,$texakoma operating, l.p.$
$par minerals corp$,$par minerals corp$
$banner oil & gas, llc$,$banner oil & gas, llc$
$the termo company$,$the termo company$
$silver creek permian op co, llc$,$silver creek permian op co, llc$
$craig elder oil and gas, l.l.c.$,$craig elder oil and gas, l.l.c.$
$flint interest, llc$,$flint interest, llc$
$enterprise energy exploration inc.$,$enterprise energy exploration inc.$
$figure 3 operating llc$,$figure 3 operating llc$
$trek resources, inc.$,$trek resources, inc.$
$postrock energy corp.$,$postrock energy corp.$
$ew energy operator, llc$,$ew energy operator, llc$
$wellstar corporation$,$wellstar corporation$
$wachob oil & gas llc$,$wachob oil & gas llc$
$western operating company$,$western operating company$
$appaloosa operating company llc$,$appaloosa operating company llc$
$garry davis oil, llc$,$garry davis oil, llc$
$highlands natural resources$,$highlands natural resources$
$dejour energy (usa) corp.$,$dejour energy (usa) corp.$
$warren e&p, inc.$,$warren e&p, inc.$
$peak powder river resources, llc$,$peak powder river resources, llc$
$breck operating corp.$,$breck operating corp.$
$white butte oil co.$,$white butte oil co.$
$poblano energy llc$,$poblano energy llc$
$midenergy operating, llc$,$midenergy operating, llc$
$colgate operating, llc$,$colgate operating, llc$
$r2q operating llc$,$r2q operating llc$
$shenandoah resources, llc$,$shenandoah resources, llc$
$ztc petro investments lp$,$ztc petro investments lp$
$muskegon development company$,$muskegon development company$
$neches exploration, l.l.c.$,$neches exploration, l.l.c.$
$wp oil, llc$,$wp oil, llc$
$cartledge oil company$,$cartledge oil company$
$cher oil company, ltd.$,$cher oil company, ltd.$
$red willow production company$,$red willow production company$
$pitts energy co$,$pitts energy co$
$read & stevens, inc.$,$read & stevens, inc.$
$blx, inc.$,$blx, inc.$
$blue quail , ltd$,$blue quail , ltd$
$llewellin operating company, llc$,$llewellin operating company, llc$
$top operating co.$,$top operating co.$
$reeder energy$,$reeder energy$
$overland resources llc$,$overland resources llc$
$sonerra resources corporation$,$sonerra resources corporation$
$bluecrest alaska operating llc$,$bluecrest alaska operating llc$
$vaalco energy (usa), inc.$,$vaalco energy (usa), inc.$
$nickel road operating llc$,$nickel road operating llc$
$petrogulf corportation$,$petrogulf corportation$
$avalon exploration, inc.$,$avalon exploration, inc.$
$stanolind production llc$,$stanolind production llc$
$williston hunter nd llc$,$williston hunter nd llc$
$oneenergy partners operating, llc$,$oneenergy partners operating, llc$
$parten operating, inc.$,$parten operating, inc.$
$highmark energy operating llc$,$highmark energy operating llc$
$la vernia oil$,$la vernia oil$
$clear water, inc.$,$clear water, inc.$
$imperial gas resources, llc$,$imperial gas resources, llc$
$milagro exploration, llc$,$milagro exploration, llc$
$strata production company$,$strata production company$
$e. n. patton oil company, inc.$,$e. n. patton oil company, inc.$
$braka operating, llc$,$braka operating, llc$
$energy management co.$,$energy management co.$
$osage exploration and development$,$osage exploration and development$
$ladd oil & gas corporation$,$ladd oil & gas corporation$
$bennett resources, inc.$,$bennett resources, inc.$
$gmx resources$,$gmx resources$
$performance operating company$,$performance operating company$
$bkv operating llc$,$bkv operating llc$
$rmd$,$rmd$
$twisted oak operating, llc$,$twisted oak operating, llc$
$lakeshore operating, llc$,$lakeshore operating, llc$
$antioch operating, llc$,$antioch operating, llc$
$paladin petroleum iii llc$,$paladin petroleum iii llc$
$j-d-o oil co.$,$j-d-o oil co.$
$arabella petroleum$,$arabella petroleum$
$periscope operating llc$,$periscope operating llc$
$viceroy petroleum$,$viceroy petroleum$
$lp operating, llc$,$lp operating, llc$
$pico niobrara llc$,$pico niobrara llc$
$gateway resources usa inc$,$gateway resources usa inc$
$monarch energy co., llc$,$monarch energy co., llc$
$davidson energy, inc.$,$davidson energy, inc.$
$cinco oil & gas, llc$,$cinco oil & gas, llc$
$ngo development corporation$,$ngo development corporation$
$fontainebleau operating, llc$,$fontainebleau operating, llc$
$sooner oil and gas mgt inc$,$sooner oil and gas mgt inc$
$choate disposal services llc$,$choate disposal services llc$
$platinum energy solutions$,$platinum energy solutions$
$charger oil & gas llc$,$charger oil & gas llc$
$tillman consulting llc, dba b&c operating$,$tillman consulting llc, dba b&c operating$
$ameredev llc$,$ameredev llc$
$union valley petroleum corp$,$union valley petroleum corp$
$kelly cook oil llc$,$kelly cook oil llc$
$brix operating llc$,$brix operating llc$
$b. r. polk, inc.$,$b. r. polk, inc.$
$metano energy iii, lp$,$metano energy iii, lp$
$5l properties, inc.$,$5l properties, inc.$
$moriah operating, llc$,$moriah operating, llc$
$opus operating ii llc$,$opus operating ii llc$
$fox northeastern oil & gas corporation$,$fox northeastern oil & gas corporation$
$ramtex energy llc$,$ramtex energy llc$
$enduro operating ii llc$,$enduro operating ii llc$
$schlachter operating corp.$,$schlachter operating corp.$
$mt. dora energy$,$mt. dora energy$
$sovereign operating company llc$,$sovereign operating company llc$
$triumph exploration, inc.$,$triumph exploration, inc.$
$carl e. gungoll exploration llc$,$carl e. gungoll exploration llc$
$marjo operating mid-continent, llc$,$marjo operating mid-continent, llc$
$eagle hydrocarbons inc.$,$eagle hydrocarbons inc.$
$bays exploration, inc.$,$bays exploration, inc.$
$stovall operating co.$,$stovall operating co.$
$silver tusk operating co. llc$,$silver tusk operating co. llc$
$petrox resources inc.$,$petrox resources inc.$
$propel energy, llc$,$propel energy, llc$
$cap energy$,$cap energy$
$revelation gas & oil oklahoma$,$revelation gas & oil oklahoma$
$payrock ii, llc$,$payrock ii, llc$
$cr3 operating company llc$,$cr3 operating company llc$
$estancia oil & gas, llc$,$estancia oil & gas, llc$
$petro-guard production llc$,$petro-guard production llc$
$trendwell energy corp$,$trendwell energy corp$
$juniper resources exploration company, llc$,$juniper resources exploration company, llc$
$covington oil co., inc.$,$covington oil co., inc.$
$pedestal oil company, inc.$,$pedestal oil company, inc.$
$longs peak energy$,$longs peak energy$
$lone star land & energy ii$,$lone star land & energy ii$
$3-m energy corporation$,$3-m energy corporation$
$cazar energy, inc.$,$cazar energy, inc.$
$future acquisition company, llc$,$future acquisition company, llc$
$entek grb llc$,$entek grb llc$
$bnk petroleum (us) inc.$,$bnk petroleum (us) inc.$
$americo energy resources, llc$,$americo energy resources, llc$
$f. howard walsh, jr. operating co., inc.$,$f. howard walsh, jr. operating co., inc.$
$hulen operating company$,$hulen operating company$
$twilight energy llc$,$twilight energy llc$
$manti exploration operating llc$,$manti exploration operating llc$
$activa resources, llc$,$activa resources, llc$
$ka energy op co., llc$,$ka energy op co., llc$
$m. e. operating and services, inc.$,$m. e. operating and services, inc.$
$ohio valley energy systems corp.$,$ohio valley energy systems corp.$
$south sands exploration, llc$,$south sands exploration, llc$
$venado oil & gas, llc$,$venado oil & gas, llc$
$sauder management company$,$sauder management company$
$sutton producing corp.$,$sutton producing corp.$
$keen resources llc$,$keen resources llc$
$lane operating company$,$lane operating company$
$johnson & ernst operating co.$,$johnson & ernst operating co.$
$burleson petroleum, inc.$,$burleson petroleum, inc.$
$src energy$,$src energy$
$copestone operating llc$,$copestone operating llc$
$weinkauf petroleum, inc.$,$weinkauf petroleum, inc.$
$stone oak operating, llc$,$stone oak operating, llc$
$rebellion energy$,$rebellion energy$
$tundra operating, llc$,$tundra operating, llc$
$aog operating, llc$,$aog operating, llc$
$black mountain oil & gas ii, llc$,$black mountain oil & gas ii, llc$
$trp energy$,$trp energy$
$thompson engineering and production corp.$,$thompson engineering and production corp.$
$goza lucerne prospect, llc$,$goza lucerne prospect, llc$
$bmr ii$,$bmr ii$
$basis resources group, llc$,$basis resources group, llc$
$selous energy, llc$,$selous energy, llc$
$keith f. walker oil & gas co., llc$,$keith f. walker oil & gas co., llc$
$strand energy, l.c.$,$strand energy, l.c.$
$marlin energy southwest gp, l.l.c.$,$marlin energy southwest gp, l.l.c.$
$eagle rock operating company, llc$,$eagle rock operating company, llc$
$dexxon, inc.$,$dexxon, inc.$
$cbm gas company llc$,$cbm gas company llc$
$magpie operating, inc$,$magpie operating, inc$
$casa grande exploration company$,$casa grande exploration company$
$hwh drilling llc$,$hwh drilling llc$
$special energy corporation$,$special energy corporation$
$draco energy, inc.$,$draco energy, inc.$
$sutherland energy co., llc$,$sutherland energy co., llc$
$woodward iodine corporation$,$woodward iodine corporation$
$craton alpha llc$,$craton alpha llc$
$sgp operating llc$,$sgp operating llc$
$martin production company$,$martin production company$
$jabsco oil operating, llc$,$jabsco oil operating, llc$
$fair oil, ltd.$,$fair oil, ltd.$
$er operating company$,$er operating company$
$vitol resources inc. of delaware$,$vitol resources inc. of delaware$
$grant canyon oil and gas$,$grant canyon oil and gas$
$trans pacific oil corp.$,$trans pacific oil corp.$
$k.s. oil company$,$k.s. oil company$
$double eagle operating$,$double eagle operating$
$opus operating, llc$,$opus operating, llc$
$relentless permian operating llc$,$relentless permian operating llc$
$trinity river energy operating, llc$,$trinity river energy operating, llc$
$samson oil and gas montana, inc.$,$samson oil and gas montana, inc.$
$arnold oil properties, llc$,$arnold oil properties, llc$
$younger energy company$,$younger energy company$
$matrix petroleum llc$,$matrix petroleum llc$
$little river energy co$,$little river energy co$
$mestena operating, l.l.c.$,$mestena operating, l.l.c.$
$enexco, inc.$,$enexco, inc.$
$international energy corporation$,$international energy corporation$
$wfd oil corporation$,$wfd oil corporation$
$yucca energy, inc.$,$yucca energy, inc.$
$ark-la-tex energy, llc$,$ark-la-tex energy, llc$
$five states energy$,$five states energy$
$j-brex company$,$j-brex company$
$thorp petroleum corporation$,$thorp petroleum corporation$
$musgrove energy inc.$,$musgrove energy inc.$
$appalachian energy, inc.$,$appalachian energy, inc.$
$canan mowrey operating, llc$,$canan mowrey operating, llc$
$betro, inc.$,$betro, inc.$
$cbl resources, llc$,$cbl resources, llc$
$red hawk petroleum, llc$,$red hawk petroleum, llc$
$story oil & gas, inc.$,$story oil & gas, inc.$
$stratex oil & gas holdings inc$,$stratex oil & gas holdings inc$
$arcadia operating, llc$,$arcadia operating, llc$
$pendragon oil co.$,$pendragon oil co.$
$dirnett, inc.$,$dirnett, inc.$
$r. baker oil, llc$,$r. baker oil, llc$
$qstar operating llc$,$qstar operating llc$
$presley operating llc$,$presley operating llc$
$texas secondary oilfield services$,$texas secondary oilfield services$
$sugar creek producing company$,$sugar creek producing company$
$renos land and minerals company$,$renos land and minerals company$
$rainbow seven oil and gas$,$rainbow seven oil and gas$
$ardmore production & exploration co.$,$ardmore production & exploration co.$
$weaver energy corporation$,$weaver energy corporation$
$rki energy resources, llc$,$rki energy resources, llc$
$medders oil company, inc.$,$medders oil company, inc.$
$reynolds e & p, inc$,$reynolds e & p, inc$
$aterra exploration, llc$,$aterra exploration, llc$
$trap rock oil, ltd.$,$trap rock oil, ltd.$
$ogx operating llc$,$ogx operating llc$
$thunderbird resources lp$,$thunderbird resources lp$
$windridge operating llc$,$windridge operating llc$
$jimmy chatham oil & gas$,$jimmy chatham oil & gas$
$rockdale marcellus, llc$,$rockdale marcellus, llc$
$ogp operating, inc.$,$ogp operating, inc.$
$borderline operating corp$,$borderline operating corp$
$northfield enterprises, inc.$,$northfield enterprises, inc.$
$dgp energy$,$dgp energy$
$hurd enterprises$,$hurd enterprises$
$j l watkins$,$j l watkins$
$national fuel corporation$,$national fuel corporation$
$mego resources, llc$,$mego resources, llc$
$brahman resource partners llc$,$brahman resource partners llc$
$augustus energy partners ii, llc$,$augustus energy partners ii, llc$
$northstar gas company, inc.$,$northstar gas company, inc.$
$great plains operating, llc$,$great plains operating, llc$
$schneider energy services$,$schneider energy services$
$william h. lackey oil & gas operating co.$,$william h. lackey oil & gas operating co.$
$chuza oil company$,$chuza oil company$
$mammoth exploration, llc$,$mammoth exploration, llc$
$gulf bend resources, llc$,$gulf bend resources, llc$
$bls production co., inc.$,$bls production co., inc.$
$eastco operating, llc$,$eastco operating, llc$
$katsco energy, inc.$,$katsco energy, inc.$
$texoz e&p i, inc.$,$texoz e&p i, inc.$
$pennington operating company, llc$,$pennington operating company, llc$
$c6 operating, llc$,$c6 operating, llc$
$itexco texas, llc$,$itexco texas, llc$
$cook inlet energy$,$cook inlet energy$
$waterloo exploration, llc$,$waterloo exploration, llc$
$cimarron engineering llc$,$cimarron engineering llc$
$dallas petroleum group, llc$,$dallas petroleum group, llc$
$douglas q. jones, llc$,$douglas q. jones, llc$
$jb production llc$,$jb production llc$
$mlc operating, lp$,$mlc operating, lp$
$huntley &amp; huntley energy exploration$,$huntley &amp; huntley energy exploration$
$petron energy ii, inc.$,$petron energy ii, inc.$
$cornerstone petroleum operating, llc$,$cornerstone petroleum operating, llc$
$black crown energy, llc$,$black crown energy, llc$
$cypress operating, inc.$,$cypress operating, inc.$
$dgp energy, llc$,$dgp energy, llc$
$bison exploration, llc$,$bison exploration, llc$
$sv energy company, llc$,$sv energy company, llc$
$hamman oil and refining company$,$hamman oil and refining company$
$mustang creek energy llc$,$mustang creek energy llc$
$pollok energy$,$pollok energy$
$peak permian, llc$,$peak permian, llc$
$midland energy inc.$,$midland energy inc.$
$mertz energy llc$,$mertz energy llc$
$horst energy llc$,$horst energy llc$
$j&j production co., llc$,$j&j production co., llc$
$reid williams operating, inc.$,$reid williams operating, inc.$
$vantage - uinta llc$,$vantage - uinta llc$
$orca operating company, llc$,$orca operating company, llc$
$lewis oil operations, llc$,$lewis oil operations, llc$
$neok production co., llc$,$neok production co., llc$
$centrex operating co$,$centrex operating co$
$corda corporation$,$corda corporation$
$cp exploration$,$cp exploration$
$fossil resources, inc.$,$fossil resources, inc.$
$sep - ok 1 llc$,$sep - ok 1 llc$
$ccrp operating, inc.$,$ccrp operating, inc.$
$seidler oil & gas operating, llc$,$seidler oil & gas operating, llc$
$mackellar inc$,$mackellar inc$
$union gas operating company$,$union gas operating company$
$sellers lease service, inc$,$sellers lease service, inc$
$aurora power resources, inc.$,$aurora power resources, inc.$
$energy hunter resources, inc.$,$energy hunter resources, inc.$
$hazelwood production & exploration company, llc$,$hazelwood production & exploration company, llc$
$pregler oil company, llc$,$pregler oil company, llc$
$running horse production company$,$running horse production company$
$spindletop oil & gas$,$spindletop oil & gas$
$earlsboro energies corp.$,$earlsboro energies corp.$
$rlu operating, llc$,$rlu operating, llc$
$mortimer production company$,$mortimer production company$
$ellis exploration, inc.$,$ellis exploration, inc.$
$dinero operating$,$dinero operating$
$diamondback resources,llc$,$diamondback resources,llc$
$thunder oil & gas, llc$,$thunder oil & gas, llc$
$tdx energy, llc$,$tdx energy, llc$
$gosney & sons, inc.$,$gosney & sons, inc.$
$buckeye oil producing company$,$buckeye oil producing company$
$southlake exploration inc.$,$southlake exploration inc.$
$o'brien oil corporation$,$o'brien oil corporation$
$baron exploration company$,$baron exploration company$
$silverback operating, llc$,$silverback operating, llc$
$arkland producing co., inc.$,$arkland producing co., inc.$
$pearl resources operating co., llc$,$pearl resources operating co., llc$
$united production company, llc$,$united production company, llc$
$primera energy$,$primera energy$
$wesco operating, inc.$,$wesco operating, inc.$
$houston petroleum company$,$houston petroleum company$
$cross creek energy llc$,$cross creek energy llc$
$crimson resource management$,$crimson resource management$
$finney oil company$,$finney oil company$
$inland ocean, inc.$,$inland ocean, inc.$
$rover operating company, llc$,$rover operating company, llc$
$tessera energy, llc$,$tessera energy, llc$
$texas international energy partners$,$texas international energy partners$
$elephant oil & gas$,$elephant oil & gas$
$palm oil & gas company$,$palm oil & gas company$
$grand operating, inc.$,$grand operating, inc.$
$spooner petroleum company$,$spooner petroleum company$
$pop operating company$,$pop operating company$
$blackwell exp & development, llc$,$blackwell exp & development, llc$
$palmer petroleum, inc.$,$palmer petroleum, inc.$
$torch production company, llc$,$torch production company, llc$
$hewitt operating inc.$,$hewitt operating inc.$
$mosbacher energy company$,$mosbacher energy company$
$billy jack sharber operating, llc$,$billy jack sharber operating, llc$
$costa energy, llc$,$costa energy, llc$
$ray herring operating co., llc$,$ray herring operating co., llc$
