$primary$,$original$
$delta oil & gas ltd.$,$delta oil & gas ltd.$
$eclipse resources i, lp$,$eclipse resources i, lp$
$w&t offshore, inc.$,$w&t offshore, inc.$
$lime rock resources, lp$,$lime rock resources, lp$
$jagged peak energy$,$jagged peak energy$
$tanos exploration ii, llc$,$tanos exploration ii, llc$
$reliance energy, inc$,$reliance energy, inc$
$scout energy partners$,$scout energy partners$
$patriot resources, inc.$,$patriot resources, inc.$
$cheyenne petroleum company$,$cheyenne petroleum company$
$el paso e&p company$,$el paso e&p company$
$brigadier operating llc$,$brigadier operating llc$
$goodrich petroleum company, llc$,$goodrich petroleum company, llc$
$fidelity exploration & production$,$fidelity exploration & production$
$tapstone energy$,$tapstone energy$
$blackbrush o & g, llc$,$blackbrush o & g, llc$
$citizen energy ii$,$citizen energy ii$
$ppc operating company llc$,$ppc operating company llc$
$wexpro company$,$wexpro company$
$hadaway consulting and engineering, llc$,$hadaway consulting and engineering, llc$
$white star petroleum, llc$,$white star petroleum, llc$
$freeport-mcmoran oil & gas$,$freeport-mcmoran oil & gas$
$silver creek oil & gas, llc$,$silver creek oil & gas, llc$
$american energy permian basin$,$american energy permian basin$
$texas american resources company$,$texas american resources company$
$pennenergy resources, llc$,$pennenergy resources, llc$
$longfellow energy, lp$,$longfellow energy, lp$
$american energy - woodford, llc$,$american energy - woodford, llc$
$aethon energy operating llc$,$aethon energy operating llc$
$quicksilver resources inc.$,$quicksilver resources inc.$
$merit energy company llc$,$merit energy company llc$
$crestone peak resources$,$crestone peak resources$
$merit energy company$,$merit energy company$
$range louisiana operating, llc$,$range louisiana operating, llc$
$legacy reserves operating lp$,$legacy reserves operating lp$
$mack energy co.$,$mack energy co.$
$forge energy, llc$,$forge energy, llc$
$crimson exploration oper. inc.$,$crimson exploration oper. inc.$
$four corners petroleum ii, llc$,$four corners petroleum ii, llc$
$hannathon petroleum, llc$,$hannathon petroleum, llc$
$rosehill operating company, llc$,$rosehill operating company, llc$
$gastar exploration inc.$,$gastar exploration inc.$
$blackbeard operating$,$blackbeard operating$
$hinkle oil & gas, inc.$,$hinkle oil & gas, inc.$
$u.s. energy development corp.$,$u.s. energy development corp.$
$laramie energy, llc$,$laramie energy, llc$
$penn virginia oil & gas corporation$,$penn virginia oil & gas corporation$
$enduring resources llc$,$enduring resources llc$
$piceance energy, llc$,$piceance energy, llc$
$approach resources$,$approach resources$
$axia energy, llc$,$axia energy, llc$
$vitruvian exploration ii, llc$,$vitruvian exploration ii, llc$
$kraken operating llc$,$kraken operating llc$
$sabine oil & gas corporation$,$sabine oil & gas corporation$
$chisholm oil and gas operating, llc$,$chisholm oil and gas operating, llc$
$jetta operating company, inc$,$jetta operating company, inc$
$cnx gas company llc$,$cnx gas company llc$
$vantage fort worth energy llc$,$vantage fort worth energy llc$
$emerald oil inc$,$emerald oil inc$
$aruba petroleum, inc.$,$aruba petroleum, inc.$
$steward energy ii, llc$,$steward energy ii, llc$
$exl petroleum, lp$,$exl petroleum, lp$
$sanguine gas exploration$,$sanguine gas exploration$
$gep haynesville, llc$,$gep haynesville, llc$
$primexx operating corporation$,$primexx operating corporation$
$snyder brothers inc.$,$snyder brothers inc.$
$lcs production company$,$lcs production company$
$rover petroleum operating, llc$,$rover petroleum operating, llc$
$strat land exploration co$,$strat land exploration co$
$sem operating company, llc$,$sem operating company, llc$
$covey park gas$,$covey park gas$
$saga petroleum llc$,$saga petroleum llc$
$oak valley operating, llc$,$oak valley operating, llc$
$j-w operating company$,$j-w operating company$
$edgemarc energy holdings, llc$,$edgemarc energy holdings, llc$
$northeast natural energy llc$,$northeast natural energy llc$
$broad oak energy ii llc$,$broad oak energy ii llc$
$mid-con energy operating, llc$,$mid-con energy operating, llc$
$laredo energy operating, llc$,$laredo energy operating, llc$
$capitan energy inc$,$capitan energy inc$
$denbury onshore, llc$,$denbury onshore, llc$
$energy corporation of america$,$energy corporation of america$
$roan resources llc$,$roan resources llc$
$pennsylvania general energy$,$pennsylvania general energy$
$mrd operating llc$,$mrd operating llc$
$sundown energy l.p.$,$sundown energy l.p.$
$exco/hgi jv assets, llc$,$exco/hgi jv assets, llc$
$four corners petroleum$,$four corners petroleum$
$discovery operating, inc.$,$discovery operating, inc.$
$phoenix petrocorp, inc.$,$phoenix petrocorp, inc.$
$sable permian resources$,$sable permian resources$
$jay-bee oil & gas, inc.$,$jay-bee oil & gas, inc.$
$catamount energy partners$,$catamount energy partners$
$cobra oil & gas corporation$,$cobra oil & gas corporation$
$md america energy llc$,$md america energy llc$
$felix energy holdings ii, llc$,$felix energy holdings ii, llc$
$energy & exploration partners operating, lp$,$energy & exploration partners operating, lp$
$element petro operating ii, llc$,$element petro operating ii, llc$
$k.p. kauffman company$,$k.p. kauffman company$
$parallel petroleum llc$,$parallel petroleum llc$
$eagle rock mid-continent operating, llc$,$eagle rock mid-continent operating, llc$
$brigham resources operating, llc$,$brigham resources operating, llc$
$zavanna, llc$,$zavanna, llc$
$samson exploration, llc$,$samson exploration, llc$
$vantage energy appalachia ii llc$,$vantage energy appalachia ii llc$
$baytex energy usa ltd$,$baytex energy usa ltd$
$tep barnett usa, llc$,$tep barnett usa, llc$
$walsh & watts, inc.$,$walsh & watts, inc.$
$guidon energy management services llc$,$guidon energy management services llc$
$burnett oil co., inc.$,$burnett oil co., inc.$
$pinedale energy partners operating llc$,$pinedale energy partners operating llc$
$pri operating, llc$,$pri operating, llc$
$murex petroleum corp.$,$murex petroleum corp.$
$fdl operating, llc$,$fdl operating, llc$
$bravo arkoma llc$,$bravo arkoma llc$
$silverbow resources$,$silverbow resources$
$sabalo operating, llc$,$sabalo operating, llc$
$urban oil and gas group$,$urban oil and gas group$
$sabinal energy$,$sabinal energy$
$stephens & johnson operating co.$,$stephens & johnson operating co.$
$american eagle energy corporation$,$american eagle energy corporation$
$jma energy company$,$jma energy company$
$foreland operating, llc$,$foreland operating, llc$
$peregrine petroleum partners, ltd$,$peregrine petroleum partners, ltd$
$fulcrum exploration, llc.$,$fulcrum exploration, llc.$
$big star oil & gas, llc$,$big star oil & gas, llc$
$compass energy operating, llc$,$compass energy operating, llc$
$berry petroleum company, llc$,$berry petroleum company, llc$
$southwest royalties, inc.$,$southwest royalties, inc.$
$calyx energy iii, llc$,$calyx energy iii, llc$
$land and natural resource development, inc$,$land and natural resource development, inc$
$pmo$,$pmo$
$texland petroleum, lp$,$texland petroleum, lp$
$tarka energy, llc$,$tarka energy, llc$
$unitex oil company$,$unitex oil company$
$reoc, llc$,$reoc, llc$
$silver hill energy partners, llc$,$silver hill energy partners, llc$
$brg lone star ltd$,$brg lone star ltd$
$nine point energy, llc$,$nine point energy, llc$
$lonestar resources, inc.$,$lonestar resources, inc.$
$interstate explorations llc$,$interstate explorations llc$
$triad hunter llc.$,$triad hunter llc.$
$liberty resources management company, llc$,$liberty resources management company, llc$
$anschutz oil company, llc$,$anschutz oil company, llc$
$statoil usa onshore properties inc.$,$statoil usa onshore properties inc.$
$pantera energy company$,$pantera energy company$
$bc operating, inc.$,$bc operating, inc.$
$casillas operating, llc$,$casillas operating, llc$
$killam oil co., ltd.$,$killam oil co., ltd.$
$rockcliff energy operating$,$rockcliff energy operating$
$cantera operating llc$,$cantera operating llc$
$stone energy corporation$,$stone energy corporation$
$buffco production,inc$,$buffco production,inc$
$california resources corporation$,$california resources corporation$
$glb exploration, inc.$,$glb exploration, inc.$
$charter oak production co., llc$,$charter oak production co., llc$
$repsol o&g, llc.$,$repsol o&g, llc.$
$jamex, inc.$,$jamex, inc.$
$elevation resources, llc$,$elevation resources, llc$
$ward petroleum$,$ward petroleum$
$clear fork, inc.$,$clear fork, inc.$
$bold operating, llc$,$bold operating, llc$
$payrock energy, llc$,$payrock energy, llc$
$bta oil producers llc$,$bta oil producers llc$
$legacy oil & gas nd, inc.$,$legacy oil & gas nd, inc.$
$kodiak oil & gas, inc.$,$kodiak oil & gas, inc.$
$nadel and gussman permian, llc$,$nadel and gussman permian, llc$
$verdad oil and gas corporation$,$verdad oil and gas corporation$
$bluestem energy$,$bluestem energy$
$cinco natural resources corporation$,$cinco natural resources corporation$
$wishbone texas operating co.$,$wishbone texas operating co.$
$axia energy ii, llc$,$axia energy ii, llc$
$tema oil and gas company$,$tema oil and gas company$
$bluestone natural resources$,$bluestone natural resources$
$bridwell oil company$,$bridwell oil company$
$halc?n operating co., inc.$,$halc?n operating co., inc.$
$bluefin resources llc$,$bluefin resources llc$
$veritas energy, llc$,$veritas energy, llc$
$zenergy, inc.$,$zenergy, inc.$
$kaiser-francis oil company$,$kaiser-francis oil company$
$nbl permian llc$,$nbl permian llc$
$layline petroleum$,$layline petroleum$
$de3 operating llc$,$de3 operating llc$
$atlantic operating, inc.$,$atlantic operating, inc.$
$eagleridge energy, llc$,$eagleridge energy, llc$
$venado oil & gas llc$,$venado oil & gas llc$
$wg operating, inc.$,$wg operating, inc.$
$lario oil & gas company$,$lario oil & gas company$
$cub creek energy, llc$,$cub creek energy, llc$
$rk petroleum corp.$,$rk petroleum corp.$
$rife energy operating$,$rife energy operating$
$independence resources management, llc.$,$independence resources management, llc.$
$geosouthern energy corporation$,$geosouthern energy corporation$
$dorado e&p partners, llc$,$dorado e&p partners, llc$
$corlena oil company$,$corlena oil company$
$plymouth exploration, llc$,$plymouth exploration, llc$
$memorial resource development llc$,$memorial resource development llc$
$mach resources$,$mach resources$
$atlantic exploration$,$atlantic exploration$
$dte gas resources, llc$,$dte gas resources, llc$
$blake production company, inc.$,$blake production company, inc.$
$endeavor natural gas, lp$,$endeavor natural gas, lp$
$calyx energy, llc$,$calyx energy, llc$
$summit energy management$,$summit energy management$
$extex operating company$,$extex operating company$
$steller energy & investment corp$,$steller energy & investment corp$
$arsenal resources$,$arsenal resources$
$crawley petroleum$,$crawley petroleum$
$husky ventures, inc.$,$husky ventures, inc.$
$champion lone star operating$,$champion lone star operating$
$hawkwood energy operating, llc$,$hawkwood energy operating, llc$
$prime operating company$,$prime operating company$
$canyon creek energy operating, llc$,$canyon creek energy operating, llc$
$comanche exploration co., llc$,$comanche exploration co., llc$
$payne exploration company$,$payne exploration company$
$vanguard operating, llc$,$vanguard operating, llc$
$new gulf resources, llc$,$new gulf resources, llc$
$boaz energy ii operating, llc$,$boaz energy ii operating, llc$
$holmes exploration, llc$,$holmes exploration, llc$
$lighthouse oil & gas lp$,$lighthouse oil & gas lp$
$virtex operating company, inc.$,$virtex operating company, inc.$
$bruin e&p operating, llc$,$bruin e&p operating, llc$
$red bluff resources$,$red bluff resources$
$sinclair oil & gas company$,$sinclair oil & gas company$
$choice exploration, inc.$,$choice exploration, inc.$
$ajax resources, llc$,$ajax resources, llc$
$permian resources$,$permian resources$
$c. e. harmon oil, inc.$,$c. e. harmon oil, inc.$
$geosouthern operating ii, llc$,$geosouthern operating ii, llc$
$opal resources operating company$,$opal resources operating company$
$corinthian exploration (usa) corp.$,$corinthian exploration (usa) corp.$
$tracker resource dev iii, llc$,$tracker resource dev iii, llc$
$augustus energy resources llc$,$augustus energy resources llc$
$fairway resources op. llc$,$fairway resources op. llc$
$inflection energy (pa) llc$,$inflection energy (pa) llc$
$international energy corporation of northern oklahoma$,$international energy corporation of northern oklahoma$
$international energy corporation of northern oklahoma$,$international energy corporation of northern oklahoma$
$magnum hunter resources corp$,$magnum hunter resources corp$
$covey park resources, llc$,$covey park resources, llc$
$rimrock resource operating, llc$,$rimrock resource operating, llc$
$true oil llc$,$true oil llc$
$eagle energy acquisitions lp$,$eagle energy acquisitions lp$
$willowbend investments, inc.$,$willowbend investments, inc.$
$verado energy, inc.$,$verado energy, inc.$
$cambrian management, ltd$,$cambrian management, ltd$
$laredo energy$,$laredo energy$
$elm ridge exploration co llc$,$elm ridge exploration co llc$
$headington energy partners, llc$,$headington energy partners, llc$
$stephens production company$,$stephens production company$
$impetro operating llc$,$impetro operating llc$
$escondido resources ii, llc$,$escondido resources ii, llc$
$gulftex energy iii, lp$,$gulftex energy iii, lp$
$duncan oil properties$,$duncan oil properties$
$three rivers operating company, llc$,$three rivers operating company, llc$
$ballard exploration company, inc.$,$ballard exploration company, inc.$
$jklm energy$,$jklm energy$
$sk plymouth, llc$,$sk plymouth, llc$
$american energy utica$,$american energy utica$
$mws producing, inc.$,$mws producing, inc.$
$texas energy holdings, inc.$,$texas energy holdings, inc.$
$sharp image energy, inc.$,$sharp image energy, inc.$
$council oak resources$,$council oak resources$
$tug hill operating, llc$,$tug hill operating, llc$
$wapiti operating, llc$,$wapiti operating, llc$
$trey resources inc.$,$trey resources inc.$
$titan operating, llc$,$titan operating, llc$
$mds energy development llc$,$mds energy development llc$
