,"clean","cnt","proprietary","hiding"
1008,"259-44-78",2,,
1009,"2594-41-5",4,,
1010,"2594-47-8",3,,
1011,2594478,17,,
1012,"25956-17-6",1,,
1013,"25987-30-8",12523,,
1014,"25987-308",1,,
1015,25987308,1,,
1016,"25988-97-0",280,,
1017,"26006-22-4",491,,
1018,"26027-38-3",1698,,
1019,"26027.38-3",3,,
1020,"26038-87-9",3608,,
1021,"2605-79-0",211,,
1022,"26062-79-3",1390,,
1023,"26099-09-2",4,,
1024,"2610-11-9",388,,
1025,"2610-47-0",1,,
1026,"26100-47-0",7927,,
1027,"26100-51-6",6,,
1028,"26172-55-4",2466,,
1029,"26183-52-8",1487,,
1030,"2621-3-12",1,,
1031,"26264-05-1",524,,
1032,"26264-06-2",79,,
1033,"26266-58-0",542,,
1034,"263-160-2",1,,
1035,"26316-40-5",1,,
1036,"2634-33-5",2082,,
1037,"26468-86-0",164,,
1038,"26635-93-8",423,,
1039,"26658-46-8",10,,
1040,"26677-99-6",275,,
1041,"267-56-1",86,,
1042,"2673-22-5",883,,
1043,"2680-03-7",1,,
1044,"2682-20-4",2466,,
1045,"26836-07-7",1706,,
1046,"2687-96-6",155,,
1047,"2687-96-9",367,,
1048,"2690-05-3",4,,
1049,"26952-14-7",1,,
1050,"26952-21-6",1,,
1051,"270-325-2",31,,
1052,"27070-58-2",1,,
1053,"2708-27-8",6,,
1054,"27083-27-8",125,,
1055,"271-76-67-0",1,,
1056,"27103-90-8",92,,
1057,"2716-87-0",1,,
1058,"27176-67-0",10,,
1059,"27176-67-6",86,,
1060,"27176-87-0",5601,,
1061,"27306-79-2",1534,,
1062,"27306-90-7",1,,
1063,"27323-41-7",7,,
1064,"27636-82-4",35,,
1065,"27676-62-6",2,,
1066,"27794-93-0",2,,
1067,"2783-94-0",117,,
1068,"279-808-8",19,,
1069,"28178-42-9",5,,
1070,"28205-96-1",1076,,
1071,"28208-80-2",8,,
1072,"2836-32-0",10672,,
1073,"2836-35-0",133,,
1074,"285159-02-0",10,,
1075,"28757-00-8",1,,
1076,"28906-96-9",3,,
1077,"29316-47-0",379,,
1078,"29387-86-8",1,,
1079,"29638-69-5",452,,
1080,"29694-85-7",26,,
1081,"29712-30-9",136,,
1082,"298-14-6",141,,
1083,"29868-05-1",36,,
1084,"2994-71-0",5,,
1085,3.1,1,,1
1086,30,1,,1
1087,"3012-65-5",36,,
1088,303,1,,1
1089,"304443-60-5",10,,
1090,"30499-70-8",9,,
1091,"306-94-5",5,,
1092,"306-98-9",5,,
1093,"30704-64-4",33,,
1094,"308075-07-2",3,,
1095,"30846-35-6",1495,,
1096,"30915-61-8",13,,
1097,"3091877-5",5,,
1098,"30965-85-6",245,,
1099,"31017-83-1",229,,
1100,"31512-74-0",2963,,
1101,"31566-31-1",2,,
1102,"31570-04-4",2,,
1103,"31726-34-8",6904,,
1104,"32289-58-0",332,,
1105,"3252-43-5",3872,,
1106,"32612-48-9",8,,
1107,"32685-03-3",1,,
1108,"32685-17-9",3,,
1109,"3327-22-8",246,,
1110,"335-21-7",5,,
1111,"335-27-3",5,,
1112,"34004-36-9",246,,
1113,"34302-65-3",12,,
1114,"34398-01-1",2295,,
1115,"34398-01-1(3eo)",25,,
1116,"34398-01-1(7eo)",25,,
1117,"344-38-7",7,,
1118,"344329-35-7",7,,
1119,"344329-87-9",7,,
1120,"3452-07-1",41,,
1121,"34590-94-8",6348,,
1122,"3468-63-1",2,,
1123,"34690-00-1",1057,,
1124,"35152-74-0",1,,
1125,"35249-69-5",41,,
1126,"35249-89-9",499,,
1127,"35297-54-2",8,,
1128,"354-96-1",1,,
1129,"354-97-2",5,,
1130,"35429-19-7",73,,
1131,"355-02-2",5,,
1132,"355-04-4",5,,
1133,"35585-58-1",626,,
1134,"35656-77-3",14,,
1135,"35657-77-3",1950,,
1136,"3567-66-6",1,,
1137,"35674-56-7",1,,
1138,"35691-65-7",5,,
1139,"36089-45-9",1019,,
1140,"3690-05-9",1,,
1141,"37-63-0",1,,
1142,"37251-67-5",623,,
1143,"37288-54-3",1893,,
1144,"37337-65-8",101,,
1145,"3734-67-6",449,,
1146,"37350-42-8",138,,
1147,"374-59-4",4,,
1148,"374-76-5",5,,
1149,"374-77-6",5,,
1150,"37475-88-0",108,,
1151,"3794-83-0",250,,
1152,"37971-36-1",211,,
1153,"38011-25-5",733,,
1154,"38172-91-7",489,,
1155,"38193-60-1",1716,,
1156,"3844-45-9",147,,
1157,"385-00-2",1,,
1158,"38640-62-9",2,,
1159,"38820-59-6",198,,
1160,"391232-99-8",140,,
1161,"3926-62-3",9,,
1162,"39290-78-3",1,,
1163,"39322-78-6",1189,,
1164,"39346-76-4",142,,
1165,"39382-21-3",159,,
1166,"39421-75-5",1,,
1167,"397256-50-7",987,,
1168,"3rd party proprietar",105,1,
1169,"4/7/9003",2,,
1170,4000,1,,1
1171,"40139-72-8",504,,
1172,"40404-63-5",92,,
1173,"40601-76-1",2,,
1174,"40623-75-4",212,,
1175,"4067-16-7",37,,
1176,"4080-31-3",38,,
1177,"4080-31-4",1,,
1178,"423-02-9",5,,
1179,"424-85-1",1,,
1180,"42504-46-1",9,,
1181,"42615-29-2",736,,
1182,"430439-54-6",41,,
1183,"433-97-6",1,,
1184,"445-29-4",1,,
1185,"445411-73-4",162,,
1186,"446-17-3",1,,
1187,"446-30-0",1,,
1188,"44992-01-0",21,,
1189,"454-92-2",1,,
1190,"455-24-3",1,,
1191,"455-40-3",1,,
1192,"456-22-4",1,,
1193,"467-19-8",3,,
1194,"4674-14-5",5,,
1195,"47-48-1",2,,
1196,"47-9003",1,,
1197,"471-34-1",2331,,
1198,"4712-55-4",18,,
1199,"4719-04-4",349,,
1200,"4807-96-6",1,,
1201,"486-66-8",147,,
1202,"4862-18-4",9,,
1203,"497-19-18",272,,
1204,"497-19-8",2934,,
1205,5,1,,1
1206,"50-0-0",1,,
1207,"50-00-0",14084,,
1208,"50-21-5",888,,
1209,"50-28-2",5,,
1210,"50-70-4",350,,
1211,"500-00-0",1,,
1212,"50285-18-2",5,,
1213,"504-63-2",175,,
1214,"5064-31-1",52,,
1215,"5064-31-3",9912,,
1216,"51198-15-3",2,,
1217,"51200-87-4",2296,,
1218,"51200-87-7",1,,
1219,"5131-66-8",2608,,
1220,"51404-69-4",103,,
1221,"515-98-0",99,,
1222,"5165-97-9",1,,
1223,"51811-79-",1,,
1224,"51811-79-1",1,,
1225,"51838-31-4",418,,
1226,"51867-05-1",1,,
1227,"52-27-1",125,,
1228,"52-51-1",1,,
1229,"52-51-5",1,,
1230,"52-51-7",3644,,
1231,"52-51-7v",1,,
1232,"520-29-4",1,,
1233,"52255-49-9",781,,
1234,"52501-07-2",1581,,
1235,"526-73-8",892,,
1236,"526-95-4",2,,
1237,"52624-57-4",584,,
1238,"527-07-1",1,,
1239,"532-32-1",83,,
1240,"5324-84-5",5,,
1241,"5329-14-6",698,,
1242,"533-14-4",2,,
1243,"533-43-2",2,,
1244,"533-73-2",461,,
1245,"533-74-2",5,,
1246,"533-74-4",6101,,
1247,"533-744-4",15,,
1248,"5332-73-0",2,,
1249,"53320-86-8",96,,
1250,533744,1,,
1251,"53845-65-1",124,,
1252,"53964-94-6",3,,
1253,"540-72-2",1,,
1254,"540-72-7",4397,,
1255,"540-97-6",801,,
1256,"54072-7",1,,
1257,"54076-97-0",16,,
1258,"541-02-6",808,,
1259,"542-75-6",32,,
1260,"5421-46-5",221,,
1261,"54300-24-2",17,,
1262,"544-76-3",94,,
1263,"5444-75-7",1,,
1264,"546-93-0",153,,
1265,"5470-11-1",1385,,
1266,"54742-47-8",2,,
1267,"548-08-7",6,,
1268,"54841-71-3",239,,
1269,55,1,,1
1270,5505,1,,1
1271,"5508-58-7",3,,
1272,"55146-10-6",9,,
1273,"5549-29-1",1,,
1274,"555566-30-8",8,,
1275,"55566-30-8",8745,,
1276,"55566-60-8",1,,
1277,"555666-30-8",1,,
1278,"556-67-2",829,,
1279,"556.67-2",2,,
1280,"55636-09-4",944,,
1281,"557-04-0",983,,
1282,"557-11-7",1,,
1283,"55845-06-2",1,,
1284,"5596-84-9",1,,
1285,"55965-84-0",1,,
1286,"55965-84-8",2,,
1287,"55965-84-9",663,,
1288,"56-18-5",6,,
1289,"56-40-6",1,,
1290,"56-81-2",1,,
1291,"56-81-4",37,,
1292,"56-81-5",14930,,
1293,"56-815",1,,
1294,"56-82-5",1,,
1295,"56-85-9",2,,
1296,"56-86-0",83,,
1297,"56-93-9",758,,
1298,"56449-46-8",269,,
1299,"56652-26-7",1199,,
1300,"56654-26-7",6,,
1301,"56996-83-9",1,,
1302,"57-13-6",2525,,
1303,"57-50-1",825,,
1304,"57-55-6",9835,,
1305,"57-56-1",7,,
1306,"57018-52-7",13,,
1307,"57029-46-6",272,,
1308,"57116-45-7",33,,
1309,"57441-12-2",1,,
1310,"5755-6",1,,
1311,"577-11-7",1280,,
1312,"5789-27-5",11,,
1313,"58-40-87",2,,
1314,"58-81-5",5,,
1315,"58-81-51",4,,
1316,"58160-99-9",12,,
1317,582,1,,1
1318,"584-08-07",20,,
1319,"584-08-7",8081,,
1320,584087,2,,1
1321,"5855-12-2",2,,
1322,"58551-12-2",1,,
1323,"5877-42-9",18,,
1324,"590-29-4",4412,,
1325,"5900-29-4",133,,
1326,591,1,,1
1327,"592-41-6",4,,
1328,"593-81-7",731,,
1329,"5949-29-1",14,,
1330,"595585-15-2",1013,,
1331,"5989-27-5",4201,,
1332,"5989-81-1",205,,
1333,"6 9 2003",1,,
1334,"6-9-9003",9,,
1335,"6/9/9003",7,,
1336,"60-00-4",74,,
1337,"60-100",1,,
1338,"60-24-2",7709,,
1339,"60-42-2",1,,
1340,"60-56-1",11,,
1341,60,1,,1
1342,"60.24-2",1,,
1343,"600-07-7",2,,
1344,"6000-30-0",1,,
1345,"6024-2",1,,
1346,"60250-76-2",1,,
1347,"603-35-0",1,,
1348,"6055-52-3",45,,
1349,"60676-86-0",235,,
1350,"60676-90-6",12,,
1351,"60828-78-6",561,,
1352,"61-17-5",1,,
1353,610,1,,1
1354,"61079-72-9",1,,
1355,61699,5,,1
1356,"61723-83-9",7072,,
1357,"61788-46-3",7,,
1358,"61788-62-3",1863,,
1359,"61788-78-1",10,,
1360,"61788-90-7",45,,
1361,"61788-93-0",111,,
1362,"61789-18-2",1,,
1363,"61789-39-7",42,,
1364,"61789-40-0",333,,
1365,"61789-68-2",84,,
1366,"61789-71",37,,
1367,"61789-71-1",1,,
1368,"61789-71-7",622,,
1369,"61789-76-2",7,,
1370,"61789-77-3",5455,,
1371,"61790-12-3",8770,,
1372,"61790-33-8",10,,
1373,"61790-50-9",2,,
1374,"61790-53-2",304,,
1375,"61790-59-8",4,,
1376,"61790-60-1",3,,
1377,"61790-66-7",182,,
1378,"61790-69-0",1286,,
1379,"61790-85-0",197,,
1380,"61791-00-2",39,,
1381,"61791-002",138,,
1382,"61791-08-0",1151,,
1383,"61791-10-4",2,,
1384,"61791-12-6",2206,,
1385,"61791-14-8",413,,
1386,"61791-26-2",9719,,
1387,"61791-29-5",154,,
1388,"61791-31-9",1,,
1389,"61791-44-4",10,,
1390,"61791-63-7",2,,
1391,"61824-42-7",6,,
1392,"61827-42-7",3911,,
1393,"61827-45-7",6,,
1394,"6187-42-7",2,,
1395,"62-53-3",21,,
1396,"62-56-6",813,,
1397,"62010-10-0",5,,
1398,"62099-15-4",17,,
1399,"623-50-7",10,,
1400,"625-45-6",180,,
1401,"62601-60-9",38,,
1402,"62649-23-4",2874,,
1403,"627-93-0",9,,
1404,"62744-41-6",10,,
1405,"62763-89-7",1,,
1406,"629-11-8",34,,
1407,"629-50-5",943,,
1408,"629-59-4",969,,
1409,"629-59-5",1,,
1410,"629-73-2",1837,,
1411,"63-42-3",1080,,
1412,"63-65-0",1,,
1413,"63-67-0",32,,
1414,"6305-04-0",1,,
1415,631,1,,1
1416,"631-61-8",12248,,
1417,"63148-52-7",173,,
1418,"63148-62-9",3551,,
1419,"6317-18-6",1,,
1420,"63428-86-4",43,,
1421,"63428-91-1",124,,
1422,"63428-92-2",608,,
1423,"637-39-8",830,,
1424,"63800-37-3",1381,,
1425,"6381-77-7",8425,,
1426,"6387-77-7",1,,
1427,"639418-26-4",26,,
1428,"64-02-8",11784,,
1429,"64-17-1",2,,
1430,"64-17-15",1,,
1431,"64-17-5",41485,,
1432,"64-17-50",1,,
1433,"64-17-7",1,,
1434,"64-17-9",1,,
1435,"64-18-6",12036,,
1436,"64-19-17",210,,
1437,"64-19-4",38,,
1438,"64-19-7",44711,,
1439,"64-19-7/67-56-1",10,,1
1440,"64-19-76",19,,
1441,"64-47-5",2,,
1442,"64-56-1",10,,
1443,"64-63-0",4,,
1444,"64-64-1",1,,
1445,"64-69-7",1,,
1446,"64.19.7",1,,
1447,"64057-57-4",67,,
1448,"6410-41-9",1530,,
1449,"6419--19-8",2,,
1450,"6419-19-8",1644,,
1451,"6419-7",1,,
1452,"64242-54-7",1,,
1453,"64265-57-2",19,,
1454,"642742-94-5",1,,
1455,"64366-70-7",137,,
1456,"6440-58-0",25,,
1457,"64425-86-1",135,,
1458,"644742-47-8",1,,
1459,"64475-85-0",9,,
1460,"64476-38-6",2333,,
1461,"64672-47-8",9,,
1462,"647-42-478",424,,
1463,"647-42-489",424,,
1464,"647-42-94-5",4,,
1465,"6472-47-8",2,,
1466,"6472-55-8",4,,
1467,"64724-47-8",1,,
1468,"64724-48-9",1,,
1469,"64724-55-8",1,,
1470,"64724-94-5",1,,
1471,"6474-02-8",1,,
1472,"6474-47-8",43,,
1473,"64741-44-2",72,,
1474,"64741-47-8",131,,
1475,"64741-66-8",1,,
1476,"64741-67-9",298,,
1477,"64741-68-0",63,,
1478,"64741-84-1",13,,
1479,"64741-85-1",2662,,
1480,"64741-85-150",1,,
1481,"64741-86-2",9,,
1482,"64741-88-4",26,,
1483,"64741-92-0",2,,
1484,"64741-96-4",10,,
1485,"6474185-1",2,,
1486,"64742 - 47 - 8",2,,
1487,"64742-02-8",26,,
1488,"64742-12-2",1,,
1489,"64742-27-8",1,,
1490,"64742-30-9",13,,
1491,"64742-4-8",3,,
1492,"64742-46-7",1066,,
1493,"64742-47-5",15,,
1494,"64742-47-8",118635,,
1495,"64742-48-8",1,,
1496,"64742-48-9",1131,,
1497,"64742-52-5",232,,
1498,"64742-53-6",502,,
1499,"64742-54-7",2658,,
1500,"64742-55-8",5261,,
1501,"64742-60-5",1,,
1502,"64742-65-0",2630,,
1503,"64742-650",3,,
1504,"64742-74-8",15,,
1505,"64742-81-0",1,,
1506,"64742-82-1",3,,
1507,"64742-84-5",1,,
1508,"64742-88-7",86,,
1509,"64742-89-8",4,,
1510,"64742-94-5",21312,,
1511,"64742-94-8",1,,
1512,"64742-95-6",1279,,
1513,"64742-96-7",4112,,
1514,"6474247-8",2,,
1515,647424788,1,,
1516,"64743-01-7",569,,
1517,"64743-02-8",4738,,
1518,"64745-47-8",3,,
1519,"64746-47-8",1,,
1520,"64747-47",1,,
1521,"64747-47-8",259,,
1522,"647471-86-2",1,,
1523,"64748-47-8",1,,
1524,"64771-72-8",3,,
1525,"64772-47-8",1,,
1526,"6484-52-2",4,,
1527,"65-56-1",2,,
1528,"65-68-0",1,,
1529,"65-85-0",286,,
1530,"65071-95-6",1141,,
1531,"65094-22-6",22,,
1532,"65143-89-7",277,,
1533,"65322-65-8",199,,
1534,"65447-77-0",2,,
1535,"65545-80-4",100,,
1536,"657-56-1",17,,
1537,"657-84-1",39,,
1538,"65742-47-8",29,,
1539,"65881-12-2",1,,
1540,"65997-12-8",2,,
1541,"65997-17-3",1148,,
1542,"65997-18-4",1005,,
1543,"66034-17-1",12,,
1544,"6607-28-3",43,,
1545,"66085-00-5",1,,
1546,"6625-46-3",449,,
1547,"6632-18-5",1,,
1548,"664-38-2",103,,
1549,"66402-68-4",1279,,
1550,"66455-14-9",2678,,
1551,"66455-15-0",3226,,
1552,"6645515-0",1,,
1553,"6654-64-4",2,,
1554,"67 - 63 - 0",5,,
1555,"67--63-0",16,,
1556,"67-03-8",148,,
1557,"67-17-5",5,,
1558,"67-26-1",1,,
1559,"67-30-0",215,,
1560,"67-34-1",1,,
1561,"67-36-0",2,,
1562,"67-48-1",18228,,
1563,"67-48-2",1,,
1564,"67-5-1",1,,
1565,"67-55-1",7,,
1566,"67-556-1",2,,
1567,"67-56-01",4,,
1568,"67-56-1",144511,,
1569,"67-56-1 & 68551-12-2",1,,1
1570,"67-56-2",2,,
1571,"67-56-4",4,,
1572,"67-56-7",13,,
1573,"67-561",3,,
1574,"67-561-1",6,,
1575,"67-58-1",1,,
1576,"67-59-1",1,,
1577,"67-6-1",2,,
1578,"67-60-0",1,,
1579,"67-63",1,,
1580,"67-63-0",78628,,
1581,"67-63-0 / 94266-47-4",2,,1
1582,"67-63-0, 94266-47-2",1,,1
1583,"67-63-0/94266-47-4",4,,1
1584,"67-63-00",4,,
1585,"67-63-1",2,,
1586,"67-63-2",66,,
1587,"67-64-1",1824,,
1588,"67-64-150",1,,
1589,"67-64-5",16,,
1590,"67-65-1",121,,
1591,"67-67-1",1,,
1592,"67-88-1",2,,
1593,"67254-71-1",269,,
1594,"6742-47-8",61,,
1595,"6742-94-5",3,,
1596,"6743-01-7",1,,
1597,"6747-01-0",17,,
1598,"67515-55-3",1,,
1599,"6756-1",24,,
1600,67561,7,,
1601,"6763-0",3,,
1602,"67674-67-3",6,,
1603,"677-56-1",1,,
1604,"67701-32-0",535,,
1605,"67701-33-1",539,,
1606,"67742-48-9",11,,
1607,"67762-19-0",1,,
1608,"67762-38-3",3,,
1609,"67762-41-8",189,,
1610,"67762-90-7",2338,,
1611,"67784-80-9",156,,
1612,"67989-88-2",5,,
1613,"68-04-2",148,,
1614,"68-11-1",544,,
1615,"68-12-1",18,,
1616,"68-12-2",12710,,
1617,"68002-96-0",5,,
1618,"68002-97-1",20429,,
1619,"68002-97-14",1,,
1620,"68002-971",1,,
1621,"68015-67-8",8,,
1622,"68036-95-3",49,,
1623,"68037-05-8",191,,
1624,"68037-13-8",142,,
1625,"68037-49-0",2,,
1626,"68037-74-1",10,,
1627,"68071-95-4",6,,
1628,"68081-81-2",956,,
1629,"68081-98-1",692,,
1630,"681130-15-4",15,,
1631,"68123-18-2",2289,,
1632,"68123.18.2",2,,
1633,"68130-15-4",468,,
1634,"68130-15-40",1,,
1635,"68130-47-2",338,,
1636,"68130-99-4",17,,
1637,"68131-39-5",1815,,
1638,"68131-40-8",570,,
1639,"68131-71-4",5,,
1640,"68131-71-5",419,,
1641,"68131-72-6",1131,,
1642,"68131-73-7",35,,
1643,"68133-47-1",162,,
1644,"68139-30-0",1826,,
1645,"68139-75-3",179,,
1646,"68140-01-2",222,,
1647,"68153-30-0",69,,
1648,"68155-07-7",274,,
1649,"68155-09-9",125,,
1650,"68155-20-4",716,,
1651,"68155-37-3",177,,
1652,"68155-39-5",292,,
1653,"68155-78-2",89,,
1654,"68171-29-9",522,,
1655,"68187-17-7",91,,
1656,"68187-63-3",3,,
1657,"68188-40-9",2640,,
1658,"68188-50-1",21,,
1659,"68188-99-8",70,,
1660,"68213-23-0",49,,
1661,"68213-24-1",934,,
1662,"68214-24-4",2,,
1663,"6824-85-1",4,,
1664,"68299-02-5",638,,
1665,"68308-35-0",19,,
1666,"68308-89-4",1019,,
1667,"68309-95-5",3,,
1668,"6831-71-5",3,,
1669,"6831-77-7",1,,
1670,"68334-55-4",5,,
1671,"68391-01-5",357,,
1672,"68391-11-7",453,,
1673,684,1,,1
1674,"684-24-85",2,,
1675,"68400-07-7",12,,
1676,"68400-71-5",277,,
1677,"68410-00-4",1,,
1678,"68410-62-8",6675,,
1679,"68411-30-3",2,,
1680,"68411-31-4",1,,
1681,"68411-32-5",12,,
1682,"68412-54-4",5169,,
1683,"68412-54-5",15,,
1684,"68412-60-2",2,,
1685,"68414-85-1",1,,
1686,"68424-4-85-1",1,,
1687,"68424-51-1",1,,
1688,"68424-8-51",1,,
1689,"68424-84-1",1,,
1690,"68424-85",2,,
1691,"68424-85-1",24854,,
1692,"68424-94-2",1,,
1693,"68424-95-3",17,,
1694,"6842485-1",1,,
1695,"68425-47-8",1,,
1696,"68425-53-6",35,,
1697,"68425-67-2",100,,
1698,"68425-75-2",36,,
1699,"68439-45-2",589,,
1700,"68439-46-3",5324,,
1701,"68439-46-5",2,,
1702,"68439-48-3",6,,
1703,"68439-49-6",9,,
1704,"68439-50-0",2,,
1705,"68439-50-9",13586,,
1706,"68439-51",1,,
1707,"68439-51-",1,,
1708,"68439-51-0",4975,,
1709,"68439-57-6",397,,
1710,"68439-70-3",415,,
1711,"68439-72-5",78,,
1712,"68440-27-7",4,,
1713,"68442-77-3",926,,
1714,"68442-773",1,,
1715,"68442-97-7",6,,
1716,"68454-85-1",1,,
1717,"68458-49-1",2,,
1718,"68476-25-5",168,,
1719,"68476-34-6",39,,
1720,"68477-31-6",11,,
1721,"68478-95-5",1,,
1722,"6849-50-9",1,,
1723,"68511-95-1",73,,
1724,"68513-87-1",1972,,
1725,"68514-28-3",1,,
1726,"68514-95-4",543,,
1727,"68525-86-0",2,,
1728,"68526-83-0",1273,,
1729,"68526-85-2",173,,
1730,"68526-86-3",1,,
1731,"68526-88-5",357,,
1732,"68527-49-1",22833,,
1733,"6852749-1",1,,
1734,"6854-22-5",4,,
1735,"6855 1-12-2",1,,
1736,"68550-12-2",1,,
1737,"68551-1-12-2",1,,
1738,"68551-12-1",1,,
1739,"68551-12-2",37464,,
1740,"68551-12-2 .00038",1,,
1741,"68551-13-3",587,,
1742,"68551-19-9",34,,
1743,"68551-20-2",25,,
1744,"68551-95-1",4,,
1745,"68584-22-5",1388,,
1746,"68584-24-7",239,,
1747,"68584-25-8",239,,
1748,"68584-27-0",81,,
1749,"68584.22.5",16,,
1750,"68585-34-2",824,,
1751,"68585-36-4",489,,
1752,"68585-47-7",15,,
1753,"68586-07-2",30,,
1754,"68593-28-2",7,,
1755,"68593-58-2",446,,
1756,"68593-582",1,,
1757,"68593-87-8",1,,
1758,"68603-15-6",122,,
1759,"68603-25-8",55,,
1760,"68603-42-",1,,
1761,"68603-42-6",1,,
1762,"68603-42-9",7731,,
1763,"68603-67-8",209,,
1764,"68603-7-8",4,,
1765,"68607-07-8",15,,
1766,"68607-19-2",2,,
1767,"68607-28-03",5,,
1768,"68607-28-3",981,,
1769,"68608-15-1",1,,
1770,"68609-68-7",2611,,
1771,"68611-44-9",45,,
1772,"68638-87-3",4,,
1773,"686411-32-5",1,,
1774,"68647-2-3",1,,
1775,"68647-72",1,,
1776,"68647-72--3",1,,
1777,"68647-72-2",1,,
1778,"68647-72-3",4979,,
1779,"68647-77-8",2,,
1780,"68647-89-2",30,,
1781,68648,1,,
1782,"68648-8-3",1,,
1783,"68648-81-7",3,,
1784,"68648-87-3",3033,,
1785,"68648-89-3",1,,
1786,"68648-89-5",114,,
1787,"68649-18-3",4,,
1788,"68649-29-6",16,,
1789,"68649-37-6",7,,
1790,"68649-44-5",430,,
1791,"68715-83-3",12,,
1792,"68814-22-2",2,,
1793,"68815-65-1",267,,
1794,"68815-65-6",544,,
1795,"68824-85-1",2,,
1796,"68848-87-3",1,,
1797,"68855-54-9",1,,
1798,"6889-29-2",3,,
1799,"68891-29-2",284,,
1800,"68891-38-3",4,,
1801,"68909-18-2",1791,,
1802,"68909-34-2",2781,,
1803,"68909-77-3",749,,
1804,"68909-81-9",1,,
1805,"68910-46-3",2,,
1806,"68910-93-0",1,,
1807,"68911-25-1",137,,
1808,"68911-87-5",332,,
1809,"68915-31-1",250,,
1810,"68915-97-9",4,,
1811,"68916-18-7",12,,
1812,"68920-95-6",2,,
1813,"68937-55-3",1019,,
1814,"68937-66-6",294,,
1815,"6895-97-9",4,,
1816,"68951-66-7",1,,
1817,"68951-67-1",1,,
1818,"68951-67-7",13320,,
1819,"68953-58-2",7774,,
1820,"68953-85-2",13,,
1821,"68956-56-9",775,,
1822,"68956-79-6",169,,
1823,"68966-36-9",429,,
1824,"68989-00-4",915,,
1825,"68990-47-6",161,,
1826,"68991-52-6",79,,
1827,"69-53-4",163,,
1828,"69011-36-5",3631,,
1829,"69012-64-2",3,,
1830,"69227-09-4",4,,
1831,"69227-094",3,,
1832,"69227-21-0",251,,
1833,"69227-22-1",292,,
1834,"69278-63-3",1,,
1835,"69411-36-5",1,,
1836,"69418-26-4",2576,,
1837,"69439-46-3",132,,
1838,"7.5% hcl",1,,1
1839,"7.5% hydrochlo",5,,1
1840,"7006-59-9",671,,
1841,"700842-79-1",98,,
1842,"70142-34-6",534,,
1843,"70161-44-3",1,,
1844,7020.02,1,,
1845,"7023-61-2",14,,
1846,"70559-25-0",174,,
1847,"70592-80-2",57,,
1848,"70624-18-9",2,,
1849,"707-50-07-1",12,,
1850,"70714-66-8",26,,
1851,"70750-07-1",483,,
1852,"70851-07-9",22,,
1853,"70851-08-0",252,,
1854,"70900-16-2",661,,
1855,"70955-34-9",2,,
1856,"71-23-8",1888,,
1857,"71-31-0",1,,
1858,"71-36-3",1909,,
1859,"71-43-2",57,,
1860,"71-48-7",331,,
1861,"71011-03-5",3,,
1862,"71011-25-1",161,,
1863,"71011-26-2",140,,
1864,"71050-62-9",2372,,
1865,"71060-57-6",105,,
1866,"71264-32-9",3,,
1867,"71630-94-9",2,,
1868,"7173-51-5",17893,,
1869,"7173-51-510",1,,
1870,"7173-54-5",34,,
1871,"71750-71-5",1,,
1872,"71767-64-1",242,,
1873,"72-17-3",367,,
1874,"72-92-9",6,,
1875,"72283-36-4",1189,,
1876,"72480-70-7",10733,,
1877,"72623-87-1",55,,
1878,"73003-80-2",274,,
1879,"73049-73-7",421,,
1880,"73070-48-1",448,,
1881,"73138-29-1",92,,
1882,"732-18-5",306,,
1883,"732-8-5",1,,
1884,"73232-52-7",9,,
1885,"73296-89-6",3,,
1886,"7332-18-5",2,,
1887,"7347-01-0",1,,
1888,"7347-14-5",24,,
1889,"7361-86-9",1,,
1890,"7371-51-5",12,,
1891,"7372-46-0",39,,
1892,"7372-46-5",1,,
1893,"7376-31-0",556,,
1894,"73772-46-0",31,,
1895,"7398-69-8",804,,
1896,"7398-69-83",2,,
1897,"74-14-5",1,,
1898,"74-84-0",2,,
1899,"74-87-3",758,,
1900,"74-98-6",29,,
1901,"7429-90-5",5,,
1902,"7432-18-5",1,,
1903,"7439-89-6",4,,
1904,"744-44-0",1,,
1905,"7440-02-0",86,,
1906,"7440-09-7",22,,
1907,"7440-21-3",1,,
1908,"7440-23-5",6,,
1909,"7440-38-2",62,,
1910,"7440-44-0",163,,
1911,"7440-440",1,,
1912,"7440-67-7",167,,
1913,"7440-70-2",3,,
1914,"7446-09-5",2223,,
1915,"7446-11-9",1,,
1916,"7446-19-7",147,,
1917,"7446-40-7",7,,
1918,"7446-70-0",30,,
1919,"7446-81-3",1,,
1920,"74464-46-1",1,,
1921,"7447-39-4",3000,,
1922,"7447-40-7",7635,,
1923,"7447-40-70",3,,
1924,"74499-34-6",1,,
1925,"7467-01-0",14,,
1926,"7467-01-1",13,,
1927,"7467-14-5",4,,
1928,"747-39-4",40,,
1929,"74732-18-5",3,,
1930,"7486-39-7",1,,
1931,"7487-88-9",467,,
1932,"75-07-0",1857,,
1933,"75-07-00",1,,
1934,"75-08-1",1,,
1935,"75-09-2",42,,
1936,"75-12-7",1146,,
1937,"75-21-8",3825,,
1938,"75-21-80",1,,
1939,"75-28-5",28,,
1940,"75-31-0",189,,
1941,"75-50-3",482,,
1942,"75-52-5",229,,
1943,"75-56-9",1340,,
1944,"75-57-0",2023,,
1945,"75-91-2",2851,,
1946,"75-91-3",1,,
1947,"7542-12-3",1,,
1948,"75422-21-8",17,,
1949,"75673-43-4",1,,
